,Year,Country Name,Country Code,Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Current health expenditure per capita, PPP (current international $) [SH.XPD.CHEX.PP.CD]",Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Labor force, total [SL.TLF.TOTL.IN]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Literacy rate, youth total (% of people ages 15-24) [SE.ADT.1524.LT.ZS]",Net migration [SM.POP.NETM],People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],"People using at least basic drinking water services, rural (% of rural population) [SH.H2O.BASW.RU.ZS]","People using at least basic drinking water services, urban (% of urban population) [SH.H2O.BASW.UR.ZS]",People using at least basic sanitation services (% of population) [SH.STA.BASS.ZS],"People using at least basic sanitation services, rural (% of rural population) [SH.STA.BASS.RU.ZS]","People using at least basic sanitation services, urban  (% of urban population) [SH.STA.BASS.UR.ZS]",Rural population (% of total population) [SP.RUR.TOTL.ZS],"School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, tertiary (% gross) [SE.TER.ENRR]","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS]
185,2018,Sudan,SDN,77.5,152.02214088,297.85590815,4.2,64.881,11724628.0,60.69718,73.0,-250001.0,60.2670911611228,53.1990270693711,73.7636595618727,36.5750324901267,24.2340968995138,60.140223632398204,65.358,76.81606,46.62174,16.91901,0.5,34.641999999999996
186,2018,Suriname,SUR,80.0,356.05148319,907.60439067,10.5,71.46300000000001,216546.0,94.38327,98.64556,-4999.0,95.4247449667041,89.99594305403579,98.21629774006651,84.4575831711356,74.82005730816759,89.41330702549999,33.94,108.8421,82.26363,,5.1,66.06
187,2018,Sweden,SWE,,5710.59141927,5386.73402342,5.2,82.3073170731707,5398663.0,,,200000.0,100.000002463404,100.0,100.0,99.29552037762409,99.64486587375629,99.2439892697845,12.569,126.5754,152.8607,66.98824,9.2,87.431
188,2018,Switzerland,CHE,,9835.96368572,7867.39450543,8.9,83.60243902439029,4946705.0,,,259999.0,100.000002880374,100.0,100.0,99.8903735152104,99.86358272811609,99.8998998998999,26.203000000000003,105.1907,102.4874,59.56299,11.5,73.797
189,2018,Syrian Arab Republic,SYR,,66.14174239,159.71609359,10.8,70.967,4770379.0,,,-2136954.0,97.2165062080837,95.16712350814291,98.9977453925,91.22287139632441,90.97347973473309,91.4396323750845,45.838,81.66355,52.53156,40.05115,0.3,54.162
190,2018,Tajikistan,TJK,94.8,55.69698772,208.5064842,5.0,70.64699999999999,2510276.0,99.8,99.9,-99999.0,81.19627480156029,75.63837835545891,96.236912097115,97.0230622220689,97.7915502437574,94.94339958130449,72.866,100.8574,88.50041999999999,31.256559999999997,3.3,27.134
191,2018,Tanzania,TZA,63.7,35.49967383,111.97884273,3.2,64.479,26191925.0,77.88723,85.75514,-200381.0,56.7264503174468,42.50152908242671,85.5382250616448,29.9134390163845,23.663432386022,42.5724740219588,66.22399999999999,94.16869,29.43508,4.01016,9.4,33.775999999999996
192,2018,Thailand,THA,99.1,221.91767602,635.02179596,7.1,76.683,38860015.0,92.86831,98.14663,97222.0,99.93071157660191,100.0,99.85916986842109,98.7507346105258,98.32359637243451,99.19176353980009,50.051,99.62503000000001,116.7339,49.286809999999996,8.3,49.949
193,2018,Timor-Leste,TLS,56.7,79.89393546,121.67577263,3.5,69.007,307578.0,68.06683000000001,83.53903000000001,-26924.0,78.34386574381449,69.6943025746401,98.323865,53.5190078259669,43.818844189805496,75.92583444191509,69.422,115.3078,83.61746,17.753729999999997,2.1,30.578000000000003
194,2018,Togo,TGO,44.6,38.77137729,99.90314053,4.3,60.489,3595074.0,63.745619999999995,84.29011,-9999.0,65.1288401878568,48.389673002589596,89.05623031973721,16.1321037019284,7.399739115667209,28.614367121412503,58.298,123.7646,61.84573,14.523929999999998,3.1,41.702
195,2018,Tonga,TON,95.5,203.15022392,311.42813564,13.4,70.70100000000001,39678.0,99.41436999999999,99.44112,-3999.0,99.90682774514471,99.9472450024402,99.77279959130051,93.4452709131028,92.49405575659121,96.59960695336821,76.869,116.339,100.8618,,1.5,23.131
196,2018,Trinidad and Tobago,TTO,100.0,1063.8270624,2180.52343745,11.7,73.245,669904.0,98.7,99.6,-3999.0,98.1849620593945,,,93.3989059531058,,,46.816,106.2101,,,8.4,53.184
197,2018,Tunisia,TUN,73.6,256.50184479,806.34361548,9.3,76.31,4074574.0,79.03643000000001,96.2091,-20000.0,96.2547036371253,88.71376280766529,99.6996622222222,90.9213974244787,81.3509491513473,95.29350412672841,31.055,115.446,92.8658,32.14938,1.9,68.945
198,2018,Turkey,TUR,97.4,468.64728125,1089.24502526,8.0,77.161,32579794.0,96.15053,99.75086999999999,1419610.0,98.8757181526111,99.6302807911524,98.6193989071038,97.29723396277879,89.86341767641649,99.8224453692744,24.857,93.15498000000001,105.9923,,2.0,75.143
199,2018,Turkmenistan,TKM,100.0,422.84882869,1116.85998453,5.3,67.956,2636635.0,99.7,99.8,-25001.0,98.8143279841271,97.572682,100.0,98.6991984721935,99.45783548067259,97.9747611666667,48.407,88.40043,85.81854,7.96587,5.4,51.593
200,2018,Turks and Caicos Islands,TCA,,,,,,,,,,94.3181818181818,,,87.9886363636364,,,6.902,,,,,93.098
201,2018,Tuvalu,TUV,,507.3523714,601.02719144,13.9,,,,,,99.2722400038243,98.7800000000001,99.5800000000001,84.07847367017,86.1890547263682,82.758888888889,37.613,86.02989000000001,66.72794,,1.7,62.387
202,2018,Uganda,UGA,74.2,37.60696696,117.11069685,2.2,62.516000000000005,16099606.0,76.5275,89.39631,843469.0,49.1040323869049,41.2511726091421,75.1055481745682,18.4723181554851,16.1668283550709,26.105999931139003,76.226,102.7047,,4.83664,9.5,23.774
203,2018,Ukraine,UKR,99.9,141.19114781,534.19106414,7.6,71.7809756097561,20275456.0,99.97435,99.96976,50001.0,93.79082011067341,99.37438447556221,91.3110131607403,96.2243559906192,93.5939297416358,97.3926015536128,30.648000000000003,99.04094,95.99927,82.67118,8.6,69.352
204,2018,United Arab Emirates,ARE,99.9,1323.11680312,2546.18760349,18.7,77.64699999999999,6827980.0,,,200000.0,98.04550655742621,,,98.586008743698,,,13.478,122.265,104.9479,,3.8,86.522
205,2018,United Kingdom,GBR,,3958.01889383,4177.81513137,3.6,81.1560975609756,34109218.0,,,1303250.0,100.00000147558,100.0,100.0,99.1102954789708,99.4747743229689,99.0363966900702,16.602,101.1546,125.8519,59.995569999999994,11.5,83.398
206,2018,United States,USA,99.1,9869.74238174,9869.74238174,10.3,78.5390243902439,164949531.0,,,4774029.0,99.2691920708955,96.9727707102043,99.7713080995427,99.9700187653163,99.8825077292242,99.9891560091086,17.744,101.8214,98.95234,88.16739,9.8,82.256
