,Time,Time Code,Country Name,Country Code,"Age dependency ratio, young (% of working-age population) [SP.POP.DPND.YG]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Domestic general government health expenditure (% of GDP) [SH.XPD.GHED.GD.ZS],Domestic general government health expenditure (% of general government expenditure) [SH.XPD.GHED.GE.ZS],Domestic general government health expenditure (% of current health expenditure) [SH.XPD.GHED.CH.ZS],Domestic general government health expenditure per capita (current US$) [SH.XPD.GHED.PC.CD],"Domestic general government health expenditure per capita, PPP (current international $) [SH.XPD.GHED.PP.CD]",Domestic private health expenditure (% of current health expenditure) [SH.XPD.PVTD.CH.ZS],Domestic private health expenditure per capita (current US$) [SH.XPD.PVTD.PC.CD],"Domestic private health expenditure per capita, PPP (current international $) [SH.XPD.PVTD.PP.CD]","External health expenditure per capita, PPP (current international $) [SH.XPD.EHEX.PP.CD]",External health expenditure per capita (current US$) [SH.XPD.EHEX.PC.CD],Population density (people per sq. km of land area) [EN.POP.DNST],Land area (sq. km) [AG.LND.TOTL.K2],Urban land area (sq. km) [AG.LND.TOTL.UR.K2],Population in the largest city (% of urban population) [EN.URB.LCTY.UR.ZS],Population in largest city [EN.URB.LCTY],"Age dependency ratio, old (% of working-age population) [SP.POP.DPND.OL]",Age dependency ratio (% of working-age population) [SP.POP.DPND],Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],Food imports (% of merchandise imports) [TM.VAL.FOOD.ZS.UN],Food production index (2004-2006 = 100) [AG.PRD.FOOD.XD]
0,2018.0,YR2018,Afghanistan,AFG,79.3193832521676,11.777193844318399,0.6001444067806011,2.31911558657885,5.09581863880157,3.4204487800598105,8.872551918029789,75.4840493202209,50.666896820068395,132.75045776367202,33.1076469421387,13.0353107452393,56.937760009803,652860.0,,42.331198362368205,4011770.0,4.75827282360713,84.07765607577471,466.07908144215696,32.271170264607704,125.41
1,2018.0,YR2018,Albania,ALB,25.7688232292839,,4.27755378186703,14.678896963596301,,190.114562988281,542.301696777344,,,,3.0242760181427,1.0602196455001802,104.61226277372299,27400.0,1689.403809,27.506392537980698,475577.0,20.0412141646094,45.810037393893396,4105.150514921889,13.5461104875721,150.93
2,2018.0,YR2018,Algeria,DZA,47.4865903381357,6.3743218779563895,4.20416407287121,10.7341229915619,65.9546911716461,170.489120483398,642.931457519531,34.0238809585571,87.94979858398442,331.667449951172,0.208904802799225,0.0553962551057339,17.7300750711665,2381740.0,30195.79688,8.78230990288061,2693542.0,10.0214421059224,57.508032444057996,3257.67687393948,20.2411686904014,151.62
3,2018.0,YR2018,American Samoa,ASM,,,,,,,,,,,,,277.325,200.0,116.16687009999998,,,,,,,120.97
4,2018.0,YR2018,Andorra,AND,,10.3205524384975,5.06037287414074,14.0175551176071,49.0319937467575,1981.2783203125,2567.92431640625,50.968003273010304,2059.50805664063,2669.31762695313,0.0,0.0,163.842553191489,470.0,,,,,,,22.200558537986602,
5,2018.0,YR2018,Angola,AGO,91.8277557270262,2.7915002778172497,1.2918687425553799,5.42836561799049,46.27865254879001,52.970386505127,86.01074981689449,50.60656070709229,57.9240913391113,94.0543365478516,5.7889609336853,3.56517648696899,24.713052057431604,1246700.0,1427.029541,38.515297744971,7774200.0,4.347984716384089,96.1757404434103,2148.27296890832,19.825104724842202,192.85
6,2018.0,YR2018,Antigua and Barbuda,ATG,31.9464478903714,4.53353188931942,2.13234610855579,9.47863757610321,47.0349878072739,316.949798583984,503.636108398438,52.941232919693,356.749633789063,566.878356933594,0.25464767217636103,0.16025565564632402,218.83181818181802,440.0,266.2775574,,,12.7313980045679,44.677845894939296,,27.772847847662696,69.89
7,2018.0,YR2018,Argentina,ARG,38.615783147846706,9.12431478500366,6.608934700489041,16.0513117909431,72.43211865425108,959.438354492188,1388.16455078125,27.0711362361908,358.58523559570295,518.819396972656,9.52013111114502,6.57989645004272,16.2585100979651,2736690.0,55032.203129999994,36.613483750400206,14966530.0,17.3386897637727,55.9544729116194,12365.901299431202,6.86323720627599,129.11
8,2018.0,YR2018,Armenia,ARM,30.2930163896593,10.3627048432827,1.3725060038268602,5.27346804738045,13.2446691393852,53.990020751953104,132.588287353516,85.4683756828308,348.399749755859,855.597412109375,12.8850536346436,5.24680089950562,103.68022479803301,28470.0,,57.95676756166921,1080324.0,16.522310468452197,46.8153268581115,3412.08014763168,16.3668460378564,135.37
9,2018.0,YR2018,Aruba,ABW,25.933470045004697,,,,,,,,,,,,588.027777777778,180.0,172.8477478,,,19.7401560715121,45.67362611651689,21385.4516647685,27.710235768663,
10,2018.0,YR2018,Australia,AUS,29.454735617512604,9.20594781637192,6.34408071637154,17.797327041626,68.9128518104553,3674.3076171875,3318.94897460938,31.0871511697769,1657.51025390625,1497.205078125,0.0,0.0,3.24912948744283,7692020.0,36745.70313,22.2933745854429,4792281.0,24.030352618930802,53.4850882364433,41489.4767632325,6.6495376544163705,105.58
11,2018.0,YR2018,Austria,AUT,21.4360478032517,10.396616905927699,7.526375353336331,15.3053984045982,72.3925411701202,3576.10131835938,4066.576171875,27.6074588298798,1363.77404785156,1550.8203125,0.0,0.0,107.20692666757799,82522.998046875,,36.849752702684604,1900547.0,28.487892318885102,49.923940122136706,38747.991332317004,7.4789827761615095,101.29
